Sample	Population	Latitude	Longitude	Age (BP)	Inversion	Datatype	Genome-Wide Std Dev	H1 Avg CN	H2 Avg CN	H1D	H2D
VK295	Yamnaya	55.51	10.45	900	H1H1	fastq_samples	0.3738	2.0637	2.0486	0	0
NEO751	Hunter-Gatherer (W)	56.87	9.22	6343	H1H1	fastq_samples	0.3774	2.1399	2.3497	0	0
NEO674	Early Farmer	44.9	22.43	5570	H1H2	fastq_samples	0.5288	2.0897	3.1025	-2	-2
VK319	Yamnaya	55.43	10.61	1150	H1H1	fastq_samples	0.4252	2.5107	2.1652	-1	-1
RISE94	Yamnaya	56.03	14.23	4496.5	H1H2	fastq_samples	0.3625	3.202	3.781	1	1
VK494	Yamnaya	50.68	21.75	850	H1H1	fastq_samples	0.6866	2.414	2.2299	-2	-2
VK84	Yamnaya	55.95	10.2	1075	H1H1	fastq_samples	0.5038	2.6833	2.2665	-2	-2
RISE484	Early Farmer	47.34	18.9	3700	H1H2	fastq_samples	0.7743	2.1777	3.0439	-2	-2
VK98	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.226	2.0501	2.0387	0	0
NEO587	Admixed	55.58	11.55	8798	H1H1	fastq_samples	0.2875	2.1737	2.1262	0	0
VK425	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.6848	2.6504	2.495	-2	-2
VK482	Yamnaya	58.17	22.25	1100	H2H2	fastq_samples	0.2476	2.0532	4.0431	0	2
VK56	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.2649	2.091	2.0821	0	0
VK75	Yamnaya	64.25	-50.1	654	H1H2	fastq_samples	0.5261	2.1589	2.914	-2	-2
NEO571	Admixed	55.4	11.5	5534	NA	fastq_samples	1.0465	2.1502	2.5711	-2	-2
RISE555	Yamnaya	48.72	44.5	4627	H1H2	fastq_samples	0.764	2.059	3.7615	-2	-2
NEO817	Admixed	33.76	47.1	9393	NA	fastq_samples	1.5823	2.7676	3.1443	-2	-2
VK178	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2779	2.9788	3.0022	1	0
NEO160	Hunter-Gatherer (E)	53	40.4	5269	H1H1	fastq_samples	0.2809	2.1645	2.12	0	0
VK473	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.2214	3.1397	4.0264	1	1
NEO627	Early Farmer	58.73	-2.94	5132	H1H2	fastq_samples	0.4193	3.263	4.0847	1	1
RISE550	Yamnaya	46.56	43.68	4934.5	H1H1	fastq_samples	0.4354	3.1236	2.9985	1	0
NEO186	Hunter-Gatherer (E)	56.78	40.45	6922	H1H1	fastq_samples	0.4869	2.3217	2.1473	0	0
NEO528	Hunter-Gatherer (E)	48.13	35.08	6839	H1H1	fastq_samples	0.5227	2.4337	2.3014	-2	-2
NEO75	Asia	54.97	73.37	7057	H1H1	fastq_samples	0.4985	2.1305	2.269	-2	-2
VK504	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.351	3.2451	3.3857	1	0
VK418	Yamnaya	67.94	14.98	1500	H1H1	fastq_samples	0.2725	2.7462	2.9654	1	0
NEO492	Admixed	48.2	35.22	10655	NA	fastq_samples	1.1893	2.7533	2.4596	-2	-2
VK460	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5418	4.5843	4.4853	-2	-2
NEO583	Hunter-Gatherer (W)	56.37	10.57	6981	H1H1	fastq_samples	0.6427	2.1958	2.1804	-2	-2
NEO173	Hunter-Gatherer (E)	52.28	38.96	6345	H1H1	fastq_samples	0.344	2.0592	2.134	0	0
VK27	Yamnaya	61.85	-6.8	250	H1H2	fastq_samples	0.4772	1.9748	2.7692	0	1
VK263	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2167	3.0537	3.0085	1	0
VK217	Yamnaya	55.54	13.05	850	H1H1	fastq_samples	0.6995	4.2558	4.4692	-2	-2
NEO671	Admixed	44.64	22.66	8629	H1H1	fastq_samples	0.6264	1.7432	2.0806	-2	-2
NEO911	Asia	55.71	76.78	6781	H1H1	fastq_samples	0.2834	2.0489	2.2025	0	0
RISE507	Yamnaya	51.5	85.97	5077	H2H2	fastq_samples	0.5826	1.9526	3.5921	-2	-2
VK361	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.2713	2.153	2.0673	0	0
VK326	Yamnaya	55.33	8.76	958	H1H1	fastq_samples	0.2387	2.9499	3.0941	1	0
NEO192	Hunter-Gatherer (E)	56.78	40.45	6841	H1H1	fastq_samples	0.5335	2.1058	1.9093	-2	-2
VK211	Yamnaya	52.88	14.2	700	H1H1	fastq_samples	0.8667	2.2239	2.7235	-2	-2
NEO923	Asia	55.71	76.78	5816	H1H1	fastq_samples	0.9814	2.885	2.5894	-2	-2
VK281	Yamnaya	55.13	11.95	900	H1H1	fastq_samples	0.2125	3.0938	2.9308	1	0
NEO626	Early Farmer	58.73	-2.94	5082	H1H2	fastq_samples	0.6005	2.5483	3.3365	-2	-2
VK287	Yamnaya	54.85	10.78	900	H1H1	fastq_samples	0.3997	3.2673	3.1462	1	0
VK364	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.2373	5.0806	4.9818	3	0
VK30	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.428	3.3099	3.1151	1	0
VK527	Yamnaya	59.86	17.65	800	H1H1	fastq_samples	0.2673	3.0177	3.0183	1	0
VK505	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.43	3.4916	3.5361	1	0
NEO113	Hunter-Gatherer (E)	50.07	39.88	7336	H1H1	fastq_samples	0.773	3.678	3.5647	-2	-2
NEO175	Yamnaya	52.28	38.96	4607	H1H1	fastq_samples	0.4212	1.5862	1.9309	0	0
VK350	Yamnaya	56.73	16.72	1151	H1H1	fastq_samples	0.2456	2.1026	2.0693	0	0
NEO744	Early Farmer	55.86	11.59	5333	H1H2	fastq_samples	0.3471	2.1848	2.9778	0	1
NEO631	Early Farmer	39.65	-8.42	7139	H1H2	fastq_samples	0.3801	2.3017	3.5201	0	1
VK452	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.4977	2.2631	2.0893	-2	-2
VK173	Yamnaya	51.76	-1.26	1010	H2H2	fastq_samples	0.2274	1.9216	3.7699	0	2
VK260	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2593	3.1021	2.9723	1	0
VK118	Yamnaya	63.43	10.39	650	H1H1	fastq_samples	0.1673	3.1558	3.0053	1	0
VK325	Yamnaya	55.33	8.76	1091	H1H2	fastq_samples	0.3305	3.2103	3.792	1	1
VK205	Yamnaya	58.93	-2.75	900	H1H1	fastq_samples	0.2601	2.0499	2.1539	0	0
NEO281	Early Farmer	42.22	43.32	9724	H1H2	fastq_samples	0.4665	4.2421	4.8808	2	1
VK397	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2302	2.1795	2.1299	0	0
